                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    143,                0.56511,                0.48467,                0.99468,                0.99712,                      1,                0.99498,                0.92347,                0.41588,                0.41579,                0.75818,               0.005314,               0.005314,               0.005314
                    144,                 0.5957,                 0.5051,                  1.022,                0.99693,                      1,                  0.995,                0.92086,                0.41989,                0.46674,                0.76064,               0.005281,               0.005281,               0.005281
                    145,                0.58842,                0.51639,                0.99795,                      1,                0.99449,                  0.995,                0.91002,                0.42035,                 0.5938,                0.76427,               0.005248,               0.005248,               0.005248
                    146,                0.57613,                0.51535,                  1.008,                0.99743,                0.99751,                  0.995,                0.91988,                0.40869,                0.46354,                0.75774,               0.005215,               0.005215,               0.005215
                    147,                0.55336,                0.48346,                0.98579,                0.99751,                0.99455,                  0.995,                0.92369,                0.41456,                0.46945,                0.76044,               0.005182,               0.005182,               0.005182
                    148,                 0.5678,                0.50727,                 1.0095,                0.99899,                0.99751,                  0.995,                0.92787,                0.39549,                 0.3682,                0.75387,               0.005149,               0.005149,               0.005149
                    149,                0.55921,                0.48255,                0.99275,                0.99975,                      1,                  0.995,                0.93388,                0.39668,                0.29174,                0.75384,               0.005116,               0.005116,               0.005116
                    150,                0.57007,                0.49159,                0.99522,                0.99752,                 0.9993,                  0.995,                0.91894,                0.40585,                0.34486,                0.76163,               0.005083,               0.005083,               0.005083
                    151,                0.55448,                 0.4821,                 1.0013,                0.99503,                0.99656,                0.99487,                0.92404,                0.40184,                0.31973,                0.75404,                0.00505,                0.00505,                0.00505
                    152,                0.55033,                0.47329,                0.98804,                0.99668,                      1,                 0.9948,                0.92798,                0.39407,                0.31709,                0.75874,               0.005017,               0.005017,               0.005017
                    153,                0.54794,                0.47878,                0.99213,                0.99727,                0.99751,                  0.995,                0.92805,                0.39081,                0.31915,                0.75634,               0.004984,               0.004984,               0.004984
                    154,                0.55107,                0.47111,                0.98056,                      1,                0.99987,                  0.995,                  0.937,                0.39435,                 0.3221,                0.75468,               0.004951,               0.004951,               0.004951
                    155,                0.55262,                0.47462,                0.98994,                      1,                0.99466,                  0.995,                0.93218,                 0.3807,                0.30304,                0.75459,               0.004918,               0.004918,               0.004918
                    156,                0.54252,                0.48588,                0.98846,                0.99751,                0.99795,                  0.995,                0.93161,                0.37775,                0.37377,                 0.7556,               0.004885,               0.004885,               0.004885
                    157,                0.55634,                0.47694,                 1.0039,                      1,                      1,                  0.995,                0.92799,                0.38565,                 0.3971,                0.75312,               0.004852,               0.004852,               0.004852
